Player_Name,Team,Position,Age,Season,FIFA_Rating,Injury,Date of Injury,Date of return,Match1_before_injury_Result,Match1_before_injury_Opposition,Match1_before_injury_GD,Match1_before_injury_Player_rating,Match2_before_injury_Result,Match2_before_injury_Opposition,Match2_before_injury_GD,Match2_before_injury_Player_rating,Match3_before_injury_Result,Match3_before_injury_Opposition,Match3_before_injury_GD,Match3_before_injury_Player_rating,Match1_missed_match_Result,Match1_missed_match_Opposition,Match1_missed_match_GD,Match2_missed_match_Result,Match2_missed_match_Opposition,Match2_missed_match_GD,Match3_missed_match_Result,Match3_missed_match_Opposition,Match3_missed_match_GD,Match1_after_injury_Result,Match1_after_injury_Opposition,Match1_after_injury_GD,Match1_after_injury_Player_rating,Match2_after_injury_Result,Match2_after_injury_Opposition,Match2_after_injury_GD,Match2_after_injury_Player_rating,Match3_after_injury_Result,Match3_after_injury_Opposition,Match3_after_injury_GD,Match3_after_injury_Player_rating,Injury_Month,Injury_Year,avg_rating_before,avg_rating_after,rating_change,team_gd_before,team_gd_missed,performance_drop_index
Jamaal Lascelles,Newcastle,Center Back,27,2020/21,77,Muscle fatigue,2020-11-22,2021-01-17,win,Everton,1.0,6.4,lose,Southampton,-2.0,6.1,lose,Chelsea,-2.0,6.3,win,Crystal Palace,2.0,win,West Brom,1.0,lose,Leeds,-3.0,lose,Arsenal,-3.0,5.6,lose,Aston Villa,-2.0,5.6,lose,Leeds,-1.0,6.1,November,2020.0,6.266666666666667,5.766666666666666,-0.5000000000000009,-1.0,0.0,-1.0
Jamaal Lascelles,Newcastle,Center Back,27,2020/21,77,Hamstring strain,2021-01-31,2021-02-14,lose,Aston Villa,-2.0,5.6,lose,Leeds,-1.0,6.1,win,Everton,2.0,6.2,lose,Crystal Palace,-1.0,win,Southampton,1.0,N.A.,N.A.,,lose,Chelsea,-2.0,7.1,lose,Man United,-2.0,5.3,draw,Wolves,0.0,7.6,January,2021.0,5.966666666666666,6.666666666666667,0.7000000000000011,-0.3333333333333333,0.0,-0.3333333333333333
Jamaal Lascelles,Newcastle,Center Back,27,2020/21,77,Foot injury,2021-04-04,2021-06-01,draw,Aston Villa,0.0,7.4,lose,Brighton,-3.0,5.8,draw,Tottenham,-3.0,5.9,win,Burnley,1.0,win,West Ham,1.0,draw,Liverpool,0.0,N.A.,N.A.,,,N.A.,N.A.,,,N.A.,N.A.,,,April,2021.0,6.366666666666667,,,-2.0,0.6666666666666666,-2.6666666666666665
Fabian Schär,Newcastle,Center Back,29,2020/21,79,Virus,2020-11-29,2020-12-25,lose,Southampton,-2.0,6.1,lose,Chelsea,-2.0,5.8,N.A.,N.A.,,,win,West Brom,1.0,lose,Leeds,-3.0,draw,Fulham,0.0,lose,Man City,-2.0,6.6,draw,Liverpool,0.0,7.6,lose,Leicester,-1.0,6.2,November,2020.0,5.949999999999999,6.8,0.8500000000000005,-2.0,-0.6666666666666666,-1.3333333333333335
Fabian Schär,Newcastle,Center Back,29,2020/21,79,Knee injury,2021-02-07,2021-04-25,win,Everton,2.0,7.0,lose,Crystal Palace,-1.0,6.5,win,Southampton,1.0,5.4,lose,Chelsea,-2.0,lose,Man United,-2.0,draw,Wolves,0.0,N.A.,N.A.,,,N.A.,N.A.,,,N.A.,N.A.,,,February,2021.0,6.3,,,0.6666666666666666,-1.3333333333333333,2.0
Ciaran Clark,Newcastle,Center Back,31,2020/21,76,Calf injury,2021-01-19,2021-01-29,lose,Leicester,-1.0,6.4,lose,Sheffield,-1.0,6.6,lose,Arsenal,-3.0,5.4,lose,Aston Villa,-2.0,lose,Leeds,-1.0,N.A.,N.A.,,win,Everton,2.0,6.2,lose,Crystal Palace,-1.0,6.5,N.A.,N.A.,,,January,2021.0,6.133333333333333,6.35,0.21666666666666679,-1.6666666666666667,-1.5,-0.16666666666666674
Ciaran Clark,Newcastle,Center Back,31,2020/21,76,Knock,2021-02-04,2021-02-14,win,Everton,2.0,6.2,lose,Crystal Palace,-1.0,6.5,N.A.,N.A.,,,win,Southampton,1.0,N.A.,N.A.,,N.A.,N.A.,,lose,Chelsea,-2.0,6.1,lose,Man United,-2.0,6.0,draw,Wolves,0.0,6.3,February,2021.0,6.35,6.133333333333333,-0.21666666666666679,0.5,1.0,-0.5
Javier Manquillo,Newcastle,Right Back,27,2020/21,75,Ankle injury,2021-02-07,2021-03-10,win,Everton,2.0,6.5,lose,Crystal Palace,-1.0,6.2,win,Southampton,1.0,6.1,lose,Chelsea,-2.0,lose,Man United,-2.0,draw,Wolves,0.0,N.A.,N.A.,,,lose,Brighton,-3.0,6.2,N.A.,N.A.,,,February,2021.0,6.266666666666666,6.2,-0.06666666666666554,0.6666666666666666,-1.3333333333333333,2.0
Isaac Hayden,Newcastle,Defensive Midfielder,26,2020/21,78,Coronavirus,2020-11-25,2020-12-11,N.A.,N.A.,,,lose,Chelsea,-2.0,6.3,N.A.,N.A.,,,win,Crystal Palace,2.0,N.A.,N.A.,,N.A.,N.A.,,win,West Brom,1.0,6.9,lose,Leeds,-3.0,5.9,draw,Fulham,0.0,7.2,November,2020.0,6.3,6.666666666666667,0.36666666666666714,-2.0,2.0,-4.0
Isaac Hayden,Newcastle,Defensive Midfielder,26,2020/21,87,Knee injury,2021-03-20,2021-06-01,draw,West Brom,0.0,6.7,draw,Aston Villa,0.0,6.9,lose,Brighton,-3.0,6.2,draw,Tottenham,0.0,win,Burnley,2.0,win,West Ham,1.0,N.A.,N.A.,,,N.A.,N.A.,,,N.A.,N.A.,,,March,2021.0,6.6000000000000005,,,-1.0,1.0,-2.0
Jonjo Shelvey,Newcastle,Central Midfielder,29,2020/21,78,Groin injury,2020-10-19,2020-11-20,draw,Tottenham,0.0,5.9,win,Burnley,2.0,7.1,lose,Man United,-3.0,6.7,draw,Wolves,0.0,win,Everton,1.0,lose,Southampton,-2.0,win,Crystal Palace,2.0,6.5,win,West Brom,1.0,6.6,draw,Fulham,0.0,6.7,October,2020.0,6.566666666666666,6.6000000000000005,0.0333333333333341,-0.3333333333333333,-0.3333333333333333,0.0
Jonjo Shelvey,Newcastle,Central Midfielder,29,2020/21,78,Hamstring injury,2021-01-04,2021-01-17,lose,Leicester,-1.0,5.8,N.A.,N.A.,,,N.A.,N.A.,,,lose,Sheffield,-1.0,N.A.,N.A.,,N.A.,N.A.,,lose,Arsenal,-3.0,6.2,lose,Aston Villa,-2.0,6.2,lose,Leeds,-1.0,6.6,January,2021.0,5.8,6.333333333333333,0.5333333333333332,-1.0,-1.0,0.0
Matt Ritchie,Newcastle,Right Midfielder,31,2020/21,76,Shoulder injury,2020-09-27,2020-11-25,draw,Tottenham,0.0,6.0,N.A.,N.A.,,,N.A.,N.A.,,,win,Burnley,2.0,lose,Man United,-3.0,draw,Wolves,1.0,win,Crystal Palace,2.0,6.6,win,West Brom,1.0,6.1,draw,Fulham,0.0,5.0,September,2020.0,6.0,5.8999999999999995,-0.10000000000000053,0.0,0.0,0.0
Allan Saint-Maximin,Newcastle,Left winger,24,2020/21,79,Ankle injury,2020-09-21,2020-10-01,win,West Ham,2.0,6.7,lose,Brighton,-3.0,5.3,N.A.,N.A.,,,draw,Tottenham,0.0,N.A.,N.A.,,N.A.,N.A.,,win,Burnley,2.0,8.3,lose,Man United,-3.0,7.3,draw,Wolves,0.0,6.5,September,2020.0,6.0,7.366666666666667,1.3666666666666671,-0.5,0.0,-0.5
Allan Saint-Maximin,Newcastle,Left winger,24,2020/21,79,Calf injury,2020-11-22,2021-01-22,win,Everton,1.0,6.2,lose,Southampton,-2.0,6.1,lose,Chelsea,-2.0,5.9,win,Crystal Palace,2.0,win,West Brom,1.0,lose,Leeds,-3.0,lose,Aston Villa,-2.0,5.7,lose,Leeds,-1.0,6.1,win,Everton,2.0,5.4,November,2020.0,6.066666666666667,5.733333333333334,-0.33333333333333304,-1.0,0.0,-1.0
Allan Saint-Maximin,Newcastle,Left winger,24,2020/21,79,Groin injury,2021-02-28,2021-04-04,lose,Chelsea,-2.0,6.1,lose,Man United,-2.0,7.4,draw,Wolves,0.0,7.0,draw,West Brom,0.0,draw,Aston Villa,0.0,lose,Brighton,-3.0,draw,Tottenham,0.0,5.5,win,Burnley,1.0,7.8,win,West Ham,1.0,6.3,February,2021.0,6.833333333333333,6.533333333333334,-0.29999999999999893,-1.3333333333333333,-1.0,-0.33333333333333326
Miguel Almirón,Newcastle,Right winger,27,2020/21,76,Knee injury,2021-02-28,2021-03-15,lose,Chelsea,-2.0,6.1,lose,Man United,-2.0,5.7,draw,Wolves,0.0,6.2,draw,West Brom,0.0,draw,Aston Villa,0.0,N.A.,N.A.,,lose,Brighton,-3.0,5.6,draw,Tottenham,0.0,6.5,win,Burnley,1.0,6.3,February,2021.0,6.0,6.133333333333333,0.13333333333333286,-1.3333333333333333,0.0,-1.3333333333333333
Dwight Gayle,Newcastle,Center Forward,31,2020/21,75,Inner ligament injury,2020-09-05,2020-12-11,N.A.,N.A.,,,N.A.,N.A.,,,N.A.,N.A.,,,win,West Ham,2.0,lose,Brighton,-3.0,draw,Tottenham,0.0,win,West Brom,1.0,7.8,lose,Leeds,-3.0,6.0,draw,Fulham,0.0,6.5,September,2020.0,,6.766666666666667,,,-0.3333333333333333,
Jamal Lewis,Newcastle,Left Back,23,2020/21,75,Knee problems,2020-12-31,2021-01-15,N.A.,N.A.,,,lose,Man City,-2.0,5.9,N.A.,N.A.,,,lose,Leicester,-1.0,lose,Sheffield,-1.0,N.A.,N.A.,,lose,Arsenal,-3.0,5.6,lose,Aston Villa,-2.0,5.1,lose,Leeds,-1.0,6.3,December,2020.0,5.9,5.666666666666667,-0.2333333333333334,-2.0,-1.0,-1.0
Ryan Fraser,Newcastle,Left winger,27,2020/21,77,Hamstring injury,2020-11-02,2020-12-15,lose,Man United,-3.0,5.1,draw,Wolves,0.0,5.7,win,Everton,1.0,5.7,lose,Southampton,-2.0,lose,Chelsea,-2.0,win,Crystal Palace,2.0,lose,Leeds,-3.0,7.1,draw,Fulham,0.0,6.0,N.A.,N.A.,,,November,2020.0,5.5,6.55,1.0499999999999998,-0.6666666666666666,-0.6666666666666666,0.0
